,Unnamed: 0,id,Q2
0,0,469945926522785792,1
1,1,469653339010252802,1
2,2,468958193297920000,1
3,3,471703069395533824,1
4,4,471507257839341569,1
5,5,471462539097042944,1
6,6,470973247681748992,1
7,7,470800278992998400,1
8,8,470582391392976896,1
9,9,469632884236906496,1
10,10,469284918590464000,1
11,11,467731695018721280,1
12,12,467328596776734720,1
13,13,466493144562163712,1
14,14,465534554539687938,1
15,15,464986155109580800,1
16,16,464918972186783745,1
17,17,463839815956312064,1
18,18,463432039329697792,1
19,19,462797726942765056,1
20,20,462753859606032384,1
21,21,462639568404373505,1
22,22,462451404771438592,1
23,23,472941097929682944,1
24,24,472929684817461248,1
25,25,472922987587731456,1
26,26,472915116724207616,1
27,27,472912955127115776,1
28,28,472909790172446720,1
29,29,472885617488326656,1
30,30,472873108366708738,1
31,31,472857035173011458,1
32,32,472845980845740032,1
33,33,472845681905115137,1
34,34,472800208292552705,1
35,35,472795930643931136,1
36,36,472578899738894336,1
37,37,472571327665434624,1
38,38,472570941458108416,1
39,39,472567546051563520,1
40,40,472566987185750016,1
41,41,472552015344959488,1
42,42,472539128069120000,1
43,43,472532423784542208,1
44,44,472523506329325568,1
45,45,472518499785773056,1
46,46,472516931593834496,1
47,47,472495357747003393,1
48,48,472401100902236160,1
49,49,472383648105127937,1
50,50,472335609051484160,1
51,51,472258571359768576,1
52,52,472250684528943104,1
53,53,472212629969465344,1
54,54,472187316556271617,1
55,55,472186121930412032,1
56,56,472181243128582144,1
57,57,472166026546020354,1
58,58,472146258283737088,1
59,59,472139796899704832,1
60,60,472041958966173697,1
61,61,472022134202843136,1
62,62,471874172117712896,1
63,63,471870569433268224,1
64,64,471837692121317376,1
65,65,471801578136272896,1
66,66,471799767518150657,1
67,67,471774191851958273,1
68,68,471710282876588032,1
69,69,471650911870136320,1
70,70,471616564190781440,1
71,71,471533880542257152,1
72,72,471477403530051584,1
73,73,471428485417025536,1
74,74,471424776373030912,1
75,75,471310017585369088,1
76,76,471294889322631168,1
77,77,471149169781268481,1
78,78,471118352187162624,1
79,79,471095997394071552,1
80,80,471052614226812928,1
81,81,471045025741406208,1
82,82,471044699453935616,1
83,83,471018151556444160,1
84,84,471016961514536960,1
85,85,471008386792693760,1
86,86,471001362235273216,1
87,87,470947293693489152,1
88,88,470867573178122240,1
89,89,470801001507987456,1
90,90,470800623676686336,1
91,91,470745900890222592,1
92,92,470740276018184192,1
93,93,470731926228434944,1
94,94,470724998261657602,1
95,95,470683919445426176,1
96,96,470642809377013760,1
97,97,470632863835389952,1
98,98,470581689769791488,1
99,99,470577459529007104,1
100,100,470544130276605953,1
101,101,470541857374863360,1
102,102,470421223495970816,1
103,103,470414861285867520,1
104,104,470409074589589504,1
105,105,470408181148303361,1
106,106,470402877387583488,1
107,107,470378467323039744,1
108,108,470375766946226176,1
109,109,470367287568916480,1
110,110,470357415175942144,1
111,111,470351032938405888,1
112,112,470345533106954242,1
113,113,470344387822489601,1
114,114,470332693637787648,1
115,115,470330719211118592,1
116,116,470310957999480832,1
117,117,470304276829720576,1
118,118,470273606308462592,1
119,119,470265628721704962,1
120,120,470241289280421888,1
121,121,470060874137600000,1
122,122,470026157396869121,1
123,123,470025738490773504,1
124,124,470008598852947969,1
125,125,470004730224476160,1
126,126,469992801745518592,1
127,127,469983234130849792,1
128,128,469919696201220097,1
129,129,469890725497167872,1
130,130,469837635381645312,1
131,131,469680949295591425,1
132,132,469647470327508992,1
133,133,469614345253838848,1
134,134,469584301974364161,1
