,id,Q1
0,471045029600190464,1
1,470599305372659712,1
2,469945926522785792,1
3,469653339010252802,1
4,468958193297920000,1
5,471703069395533824,1
6,471507257839341569,1
7,471462539097042944,1
8,470973247681748992,1
9,470800278992998400,1
10,470674474019618820,1
11,470582391392976896,1
12,470379378187063296,1
13,470232392964509696,1
14,470122105393000448,1
15,469887891858919424,1
16,469719528977342465,1
17,469632884236906496,1
18,469526155046158336,1
19,469356238502121472,1
20,469284918590464000,1
21,469277856422715392,1
22,468806930912542720,1
23,467825762721341440,1
24,467731695018721280,1
25,467328596776734720,1
26,467165067927359488,1
27,466698924724473856,1
28,466493144562163712,1
29,466285009075466240,1
30,465534554539687938,1
31,464986155109580800,1
32,464924258561687552,1
33,464918972186783745,1
34,464528089511653378,1
35,463839815956312064,1
36,463516617184260096,1
37,463432039329697792,1
38,463368674540519425,1
39,463133888479383553,1
40,462797726942765056,1
41,462796487047397376,1
42,462753859606032384,1
43,462661368190353409,1
44,462639568404373505,1
45,462451404771438592,1
46,462444266011103232,1
47,461963516660830208,1
48,472941097929682944,1
49,472929684817461248,1
50,472922987587731456,1
51,472915116724207616,1
52,472912955127115776,1
53,472909790172446720,1
54,472885617488326656,1
55,472873108366708738,1
56,472857035173011458,1
57,472855102278340608,1
58,472850491735834624,1
59,472845980845740032,1
60,472845681905115137,1
61,472814314035097600,1
62,472800208292552705,1
63,472795930643931136,1
64,472793598736736256,1
65,472769518587351042,1
66,472757377260081152,1
67,472754113483407360,1
68,472637564571369472,1
69,472608535633600512,1
70,472593764595560448,1
71,472578899738894336,1
72,472571327665434624,1
73,472570941458108416,1
74,472568786865094656,1
75,472567546051563520,1
76,472566987185750016,1
77,472563455212670976,1
78,472558664054616064,1
79,472552015344959488,1
80,472545552002215936,1
81,472540607563309058,1
82,472539128069120000,1
83,472532423784542208,1
84,472523506329325568,1
85,472518499785773056,1
86,472516931593834496,1
87,472495357747003393,1
88,472481296078602240,1
89,472470391416700929,1
90,472449515057061888,1
91,472401100902236160,1
92,472383648105127937,1
93,472335609051484160,1
94,472258571359768576,1
95,472250684528943104,1
96,472222964419936256,1
97,472212629969465344,1
98,472195704685744129,1
99,472187316556271617,1
100,472186121930412032,1
101,472181243128582144,1
102,472166026546020354,1
103,472146258283737088,1
104,472139796899704832,1
105,472117630350786560,1
106,472041958966173697,1
107,472033901125599232,1
108,472022134202843136,1
109,471874172117712896,1
110,471870569433268224,1
111,471837692121317376,1
112,471801578136272896,1
113,471799767518150657,1
114,471774191851958273,1
115,471710282876588032,1
116,471704656826355712,1
117,471658922957606912,1
118,471650911870136320,1
119,471616564190781440,1
120,471561982630715392,1
121,471533880542257152,1
122,471490291120492544,1
123,471478035577712640,1
124,471477403530051584,1
125,471455860250906624,1
126,471442463920775168,1
127,471428485417025536,1
128,471424776373030912,1
129,471356751934410752,1
130,471340644905271296,1
131,471319932991307779,1
132,471310017585369088,1
133,471294889322631168,1
134,471261433486118912,1
135,471149169781268481,1
136,471118352187162624,1
137,471095997394071552,1
138,471087007486455808,1
139,471052614226812928,1
140,471048092788457473,1
141,471045025741406208,1
142,471044699453935616,1
143,471037238458204160,1
144,471018151556444160,1
145,471016961514536960,1
146,471008386792693760,1
147,471001362235273216,1
148,470973055900979200,1
149,470968843628969984,1
150,470949131641688064,1
151,470947293693489152,1
152,470867573178122240,1
153,470827586164391937,1
154,470816011155824640,1
155,470801001507987456,1
156,470800623676686336,1
157,470774465459388416,1
158,470770470334504960,1
159,470749511011536897,1
160,470745900890222592,1
161,470740850440667136,1
162,470740276018184192,1
163,470731926228434944,1
164,470724998261657602,1
165,470722397700882432,1
166,470691234961719296,1
167,470683919445426176,1
168,470665450192650240,1
169,470642809377013760,1
170,470632863835389952,1
171,470623979620040704,1
172,470587533748076545,1
173,470581689769791488,1
174,470577459529007104,1
175,470544130276605953,1
176,470541857374863360,1
177,470469726800707584,1
178,470421223495970816,1
179,470414861285867520,1
180,470409074589589504,1
181,470408181148303361,1
182,470402877387583488,1
183,470400586933084160,1
184,470378467323039744,1
185,470375766946226176,1
186,470369983638151168,1
187,470367287568916480,1
188,470361493746503680,1
189,470357415175942144,1
190,470351032938405888,1
191,470348115825135616,1
192,470345533106954242,1
193,470344387822489601,1
194,470332693637787648,1
195,470330719211118592,1
196,470310957999480832,1
197,470304276829720576,1
198,470303874688241665,1
199,470273606308462592,1
200,470265628721704962,1
201,470241289280421888,1
202,470177714083598338,1
203,470071355782987776,1
204,470060874137600000,1
205,470026157396869121,1
206,470025738490773504,1
207,470018814537920512,1
208,470008598852947969,1
209,470004730224476160,1
210,469992801745518592,1
211,469985824608514050,1
212,469983234130849792,1
213,469979859301990400,1
214,469919696201220097,1
215,469913328413081600,1
216,469890725497167872,1
217,469874432182591489,1
218,469868092865400832,1
219,469868085554319361,1
220,469851372826157056,1
221,469837635381645312,1
222,469714850357448704,1
223,469693700776656896,1
224,469684443649933312,1
225,469680949295591425,1
226,469647470327508992,1
227,469614345253838848,1
228,469584301974364161,1
229,469577169279410177,1
230,469537067815669760,1
231,469532979610796033,1
232,469473561863016448,1
233,469472628898791424,1
234,469469307366543360,1
235,469425634079301633,1
236,469345266509029378,1
237,469295792251883521,1
238,469279297283584000,1
239,469277897468153856,1
240,469254780804931584,1
241,469241169248280577,1
